Route,Stop,Time Period,Avg Headway,Std Headway,Min Headway,Max Headway,Count,Bunching Rate %
023,Westbound Pacific St @ Jervis St,Midday,10.53030303030303,3.5584470565887942,2.25,14.966666666666667,11,9.090909090909092
023,Westbound Beach Ave @ Thurlow St,Midday,10.574242424242424,3.5717359896551675,2.35,14.966666666666667,11,9.090909090909092
023,Westbound Beach Ave @ Howe St,Midday,10.6,3.578927524024791,2.5166666666666666,14.933333333333334,11,9.090909090909092
023,Westbound Beach Ave @ Cardero St,Midday,10.433333333333334,3.8015128567453242,1.2166666666666668,14.966666666666667,11,9.090909090909092
023,Westbound Beach Ave @ Bute St,Midday,10.533333333333333,3.531328047318427,2.35,14.95,11,9.090909090909092
255,Northbound Lonsdale Ave @ E 13 St,Morning Rush,17.136363636363637,7.3609359994418355,0.75,26.85,11,9.090909090909092
501,Westbound Fraser Hwy @ 196A St,Morning Rush,14.031818181818181,8.286168041264961,0.5333333333333333,29.166666666666668,11,9.090909090909092
503,Eastbound Fraser Hwy @ 200 St,Midday,8.05909090909091,4.271458010486997,2.0833333333333335,17.75,11,9.090909090909092
255,Southbound Grand Blvd East @ E 11 St,Morning Rush,16.98787878787879,7.194114457546727,0.75,26.85,11,9.090909090909092
255,Southbound Grand Blvd East @ E 13 St,Morning Rush,16.983333333333334,7.195824406479696,0.75,26.85,11,9.090909090909092
501,Westbound Fraser Hwy @ 200 St,Morning Rush,14.340909090909092,8.314914189563112,0.55,29.6,11,9.090909090909092
255,Southbound Grand Blvd East @ E 15 St,Morning Rush,16.97878787878788,7.197565525575263,0.75,26.85,11,9.090909090909092
255,Southbound Grand Blvd East @ E 9th St,Morning Rush,16.975757575757576,7.191176551998998,0.75,26.85,11,9.090909090909092
408,Northbound Garden City Rd @ Williams Rd,Morning Rush,21.71818181818182,19.287055899035632,1.8333333333333333,57.18333333333333,11,9.090909090909092
408,Northbound Garden City Rd @ Glenallan Gate,Morning Rush,21.48939393939394,19.474499384133765,1.3833333333333333,57.233333333333334,11,9.090909090909092
408,Northbound Garden City Rd @ Saunders Rd,Morning Rush,21.503030303030304,19.42139973526027,1.4666666666666668,57.18333333333333,11,9.090909090909092
501,Westbound Fraser Hwy @ Production Way,Morning Rush,14.206060606060605,8.316186601800107,0.55,29.433333333333334,11,9.090909090909092
501,Westbound Fraser Hwy @ Langley Bypass,Morning Rush,14.13030303030303,8.335552431808846,0.55,29.433333333333334,11,9.090909090909092
321,Newton Exchange @ Bay 6,Morning Rush,9.46969696969697,4.079892091773933,2.1166666666666667,20.0,22,9.090909090909092
255,Eastbound E 15 St @ Ridgeway Ave,Morning Rush,16.956060606060607,7.206737868624799,0.75,26.85,11,9.090909090909092
321,Southbound 138 St @ 72 Ave,Morning Rush,9.233333333333333,4.091079468420434,1.9833333333333334,19.85,22,9.090909090909092
319,Northbound Scott Rd @ 84 Ave,Midday,11.1,4.768199054383344,0.5,16.45,11,9.090909090909092
250,Westbound Marine Dr @ Travers Ave,Morning Rush,17.927272727272726,9.3361700234663,1.4166666666666667,28.083333333333332,11,9.090909090909092
