Route,From Stop,To Stop,Time Period,Avg Delay (min),Std Delay,Sample Count,Speed Reduction %
618,Westbound Ladner Trunk Rd @ Harvest Dr,Northbound 57 St @ 48B Ave,Morning Rush,0.31666666666666665,0.44783429475148007,2,28.358208955223873
320,Northbound 152 St @ 101 Ave,Northbound 152 St @ 102A Ave,Morning Rush,0.31666666666666665,0.4271810624673324,18,16.321758518184712
227,Southbound Hoskins Rd @ Greenock Place,Southbound Arborlynn Dr @ Hoskins Rd,Midday,0.31666666666666665,0.3347193406976015,4,20.857632933104632
N9,Northbound Clarke Rd @ Glenayre Dr,Eastbound St. Johns St @ Albert St,Morning Rush,0.31666666666666665,2.1543560522810523,5,-12.64497780269127
321,Eastbound Old Yale Rd @ University Dr,Eastbound Old Yale Rd @ 13500 Block,Night,0.31666666666666665,,1,27.941176470588246
744,Northbound 224 St @ 12200 Block,Westbound 124 Ave @ 224 St,Morning Rush,0.31666666666666665,0.18257418583505539,4,27.926474861958738
375,Northbound 152 St @ 22 Ave,Northbound 152 St @ 24 Ave,Morning Rush,0.31666666666666665,0.29849157814287197,9,21.210855152308973
003,Southbound Main St @ E Hastings St,Southbound Main St @ Keefer St,Night,0.31666666666666665,,1,29.230769230769237
255,Westbound E Keith Rd @ Brooksbank Ave,Westbound E Keith Rd @ Shavington St,Morning Rush,0.31666666666666665,0.5165994579942956,9,20.11492160574729
749,(Northbound 272 St In 10000-Block Area) (Flag),(Northbound 272 St In 10300-Block Area) (Flag),Morning Rush,0.31666666666666665,,1,30.15873015873016
618,Southbound Admiral Blvd @ Regatta Way,Southbound Westminster Ave @ Chamberlayne Ave,Midday,0.31666666666666665,0.5421151989096864,2,20.673076923076923
531,Eastbound 56 Ave @ 201A St,Eastbound Douglas Cres @ 203 St,Morning Rush,0.31666666666666665,0.2627842376466967,11,27.425015621701537
N24,Eastbound W Georgia St @ Denman St,Eastbound W Georgia St @ Cardero St,Morning Rush,0.31666666666666665,0.348010216963685,3,25.176767676767682
159,Northbound Brigantine Dr @ Hartley Ave,Westbound United Blvd @ Brigantine Dr,Midday,0.31666666666666665,0.16791201399674902,5,39.27315022810323
014,Westbound W Hastings St @ Richards St,Southbound Granville St @ W Pender St,Midday,0.31666666666666665,0.5121538707279164,15,11.684785049941228
509,Westbound 96 Ave @ 205 St,Southbound 204 St @ 96 Ave,Morning Rush,0.31666666666666665,,1,38.775510204081634
050,Southbound Granville St @ Robson St,Southbound Granville St @ Nelson St,Midday,0.31666666666666665,0.2930917565844829,9,12.651826262104668
156,Northbound Hillcrest St @ Austin Ave,Northbound Hillcrest St @ King Albert Ave,Morning Rush,0.31666666666666665,0.7782934798266916,4,5.460535351839702
155,Eastbound Hospital St @ E Columbia St,Northbound E Columbia St @ Sherbrooke St,Morning Rush,0.31666666666666665,0.4169998667732268,8,22.78663541465563
019,Main Street-Science World Station @ Bay 1,Southbound Main St @ Switchmen St,Night,0.31666666666666665,,1,22.89156626506024
182,Southbound Belcarra Bay Rd @ Salish Rd,Eastbound Bedwell Bay Rd @ Midden Rd,Morning Rush,0.31666666666666665,,1,20.879120879120883
020,Northbound Victoria Dr @ E 36 Ave,Northbound Victoria Dr @ E 33 Ave,Night,0.31666666666666665,,1,29.230769230769226
701,Southbound Harris Rd @ 119 Ave,Eastbound Hammond Rd @ Harris Rd,Morning Rush,0.31666666666666665,0.22211108331943577,16,44.379684389562144
033,Eastbound E 33 Ave @ Nanaimo St,Northbound Slocan St @ Kingsway,Midday,0.31666666666666665,0.2675175817879202,12,19.07088643885884
211,Eastbound E Cordova St @ Princess Ave,Eastbound Powell St @ Commercial Dr,Morning Rush,0.31666666666666665,,1,7.539682539682547
320,Eastbound Fraser Hwy @ Production Way,Southbound 200 St @ Fraser Hwy,Midday,0.31666666666666665,0.7440971412091001,9,16.756490188416464
002,Southbound Burrard St @ Robson St,Southbound Burrard St @ Barclay St,Midday,0.31666666666666665,0.2,10,33.57231170853953
410,Eastbound Ewen Ave @ Hume St,Eastbound Ewen Ave @ Gifford St,Morning Rush,0.31583333333333335,0.4303362958029222,20,20.318582708666195
351,Southbound 152 St @ 22 Ave,Southbound 152 St @ 20 Ave,Midday,0.3153846153846154,0.2820609943937739,13,27.97968622965812
028,Southbound Ingleton Ave @ Sunset St,Southbound Smith Ave @ Kincaid St,Morning Rush,0.31527777777777777,0.37681937996584663,12,18.426075832773154
010,Southbound Granville St @ W 65 Ave,Southbound Granville St @ W 68 Ave,Midday,0.31527777777777777,0.2584392093236336,12,21.70892189275213
183,Eastbound St. Johns St @ Williams St,Eastbound St. Johns St @ Buller St,Morning Rush,0.3148148148148148,1.5668316500993609,9,-22.822778404366964
210,Westbound W Pender St @ Carrall St,Westbound W Pender St @ Abbott St,Midday,0.3148148148148148,0.12316555154108536,9,33.045488548758215
401,Northbound No. 1 Rd @ Georgia St,Northbound No. 1 Rd @ Steveston Hwy,Midday,0.3145833333333333,0.5886113264717165,8,14.076481071878217
310,Northbound Scott Rd @ 68 Ave,Northbound Scott Rd @ 70 Ave,Morning Rush,0.31428571428571433,0.3130537421955622,7,25.770085785554386
015,Southbound Cambie St @ W 14 Ave,Southbound Cambie St @ W 16 Ave,Morning Rush,0.31428571428571433,0.4791310306863297,14,21.26754520795071
